Prefix	Species name
ENSMPU	Mustela putorius furo (Ferret)
ENSACC	Aquila chrysaetos chrysaetos (Golden eagle)
ENSACO	Amazona collaria (Yellow-billed parrot)
ENSCWA	Catagonus wagneri (Chacoan peccary)
ENSIPU	Ictalurus punctatus (Channel catfish)
ENSMMS	Moschus moschiferus (Siberian musk deer)
ENSONI	Oreochromis niloticus (Nile tilapia)
ENSJJA	Jaculus jaculus (Lesser Egyptian jerboa)
ENSBIX	Bos indicus x Bos taurus (Hybrid - Bos Indicus)
ENSCDR	Camelus dromedarius (Arabian camel)
ENSOME	Oryzias melastigma (Indian medaka)
ENSSSC	Sus scrofa (Pig - Landrace)
ENSANA	Aotus nancymaae (Ma's night monkey)
ENSORL	Oryzias latipes (Japanese medaka HdrR)
ENSCJA	Callithrix jacchus (Marmoset)
ENSSSC	Sus scrofa (Pig - Wuzhishan)
ENSMOD	Monodelphis domestica (Opossum)
ENSCAF	Canis lupus familiaris (Dog - Great Dane)
ENSRNO	Rattus norvegicus (Rat)
ENSPST	Pavo cristatus (Indian peafowl)
ENS	Homo sapiens (Human)
ENSARW	Apteryx rowi (Okarito brown kiwi)
ENSMLU	Myotis lucifugus (Microbat)
ENSCAF	Canis lupus familiaris (Dog)
ENSCHO	Choloepus hoffmanni (Sloth)
ENSEAS	Equus asinus asinus (Donkey)
ENSSSA	Salmo salar (Atlantic salmon)
ENSPSI	Pelodiscus sinensis (Chinese softshell turtle)
ENSGMO	Gadus morhua (Cod)
ENSRFE	Rhinolophus ferrumequinum (Greater horseshoe bat)
MGP_AKRJ_	Mus musculus (Mouse AKR/J)
ENSTGU	Taeniopygia guttata (Zebra finch)
ENSCPO	Cavia porcellus (Guinea Pig)
ENSBGR	Bos grunniens (Domestic yak)
ENSCPU	Calidris pugnax (Ruff)
MGP_SPRETEiJ_	Mus spretus (Algerian mouse)
ENSGGO	Gorilla gorilla gorilla (Gorilla)
ENSPCA	Procavia capensis (Hyrax)
ENSMNE	Macaca nemestrina (Pig-tailed macaque)
ENSMUS	Mus musculus (Mouse)
ENSSSC	Sus scrofa (Pig - Jinhua)
ENSCPR	Crocodylus porosus (Australian saltwater crocodile)
ENSPNA	Pygocentrus nattereri (Red-bellied piranha)
ENSSSC	Sus scrofa (Pig - Largewhite)
ENSMAM	Mastacembelus armatus (Zig-zag eel)
ENSCHA	Scleropages formosus (Asian bonytongue)
ENSNME	Numida meleagris (Helmeted guineafowl)
ENSVUR	Vombatus ursinus (Common wombat)
ENSTBE	Tupaia belangeri (Tree Shrew)
ENSPMG	Periophthalmus magnuspinnatus (Periophthalmus magnuspinnatus)
ENSCHI	Capra hircus (Goat)
ENSPRN	Parambassis ranga (Indian glassy fish)
ENSORL	Oryzias latipes (Japanese medaka HSOK)
ENSGWI	Gouania willdenowi (Blunt-snouted clingfish)
ENSCAN	Colobus angolensis palliatus (Angola colobus)
ENSMMD	Myripristis murdjan (Pinecone soldierfish)
ENSMGA	Meleagris gallopavo (Turkey)
ENSBMU	Bos mutus (Wild yak)
ENSBSL	Betta splendens (Siamese fighting fish)
ENSPTX	Pseudonaja textilis (Eastern brown snake)
ENSMUN	Melopsittacus undulatus (Budgerigar)
ENSNLE	Nomascus leucogenys (Gibbon)
ENSMVI	Manacus vitellinus (Golden-collared manakin)
ENSSMR	Salvator merianae (Argentine black and white tegu)
MGP_DBA2J_	Mus musculus (Mouse DBA/2J)
ENSANI	Accipiter nisus (Eurasian sparrowhawk)
ENSNML	Neogobius melanostomus (Round goby)
ENSAME	Ailuropoda melanoleuca (Panda)
MGP_129S1SvImJ_	Mus musculus (Mouse 129S1/SvImJ)
ENSSSC	Sus scrofa (Pig USMARC)
ENSPVA	Pteropus vampyrus (Megabat)
ENSSSC	Sus scrofa (Pig - Tibetan)
ENSMOC	Microtus ochrogaster (Prairie vole)
ENSJHY	Junco hyemalis (Dark-eyed junco)
ENSFCA	Felis catus (Cat)
MGP_AJ_	Mus musculus (Mouse A/J)
ENSPTI	Panthera tigris altaica (Tiger)
ENSCPG	Calidris pygmaea (Spoon-billed sandpiper)
ENSCSAV	Ciona savignyi
ENSPMJ	Parus major (Great Tit)
ENSSAR	Sorex araneus (Shrew)
ENSPSM	Prolemur simus (Greater bamboo lemur)
ENSSLD	Seriola lalandi dorsalis (Yellowtail amberjack)
MGP_CASTEiJ_	Mus musculus castaneus (Mouse CAST/EiJ)
ENSGAG	Gopherus agassizii (Agassiz's desert tortoise)
ENSMLE	Mandrillus leucophaeus (Drill)
MGP_C57BL6NJ_	Mus musculus (Mouse C57BL/6NJ)
ENSODE	Octodon degus (Degu)
ENSLAC	Latimeria chalumnae (Coelacanth)
ENSSDA	Spermophilus dauricus (Daurian ground squirrel)
ENSABR	Anser brachyrhynchus (Pink-footed goose)
MGP_NZOHlLtJ_	Mus musculus (Mouse NZO/HlLtJ)
ENSEBU	Eptatretus burgeri (Hagfish)
ENSPCT	Physeter catodon (Sperm whale)
ENSCJP	Coturnix japonica (Japanese quail)
ENSAOW	Apteryx owenii (Little spotted kiwi)
ENSRBI	Rhinopithecus bieti (Black snub-nosed monkey)
ENSNPE	Nothoprocta perdicaria (Chilean tinamou)
ENSSSC	Sus scrofa (Pig - Meishan)
ENSSHA	Sarcophilus harrisii (Tasmanian devil)
ENSHGLM	Heterocephalus glaber (Naked mole-rat male)
ENSAPO	Acanthochromis polyacanthus (Spiny chromis)
ENSTGE	Theropithecus gelada (Gelada)
