Prefix	Species name
ENS	Homo sapiens (Human)
ENSABR	Anser brachyrhynchus (Pink-footed goose)
ENSACA	Anolis carolinensis (Anole lizard)
ENSACC	Aquila chrysaetos chrysaetos (Golden eagle)
ENSACD	Anser cygnoides (Swan goose)
ENSACI	Amphilophus citrinellus (Midas cichlid)
ENSACL	Astatotilapia calliptera (Eastern happy)
ENSACO	Amazona collaria (Yellow-billed parrot)
ENSACU	Athene cunicularia (Burrowing owl)
ENSAHA	Apteryx haastii (Great spotted kiwi)
ENSAME	Ailuropoda melanoleuca (Panda)
ENSAMX	Astyanax mexicanus (Mexican tetra)
ENSANA	Aotus nancymaae (Ma's night monkey)
ENSANI	Accipiter nisus (Eurasian sparrowhawk)
ENSAOC	Amphiprion ocellaris (Clown anemonefish)
ENSAOW	Apteryx owenii (Little spotted kiwi)
ENSAPE	Amphiprion percula (Orange clownfish)
ENSAPL	Anas platyrhynchos platyrhynchos (Duck)
ENSAPO	Acanthochromis polyacanthus (Spiny chromis)
ENSARW	Apteryx rowi (Okarito brown kiwi)
ENSATE	Anabas testudineus (Climbing perch)
ENSBBB	Bison bison bison (American bison)
ENSBGR	Bos grunniens (Domestic yak)
ENSBIX	Bos indicus x Bos taurus (Hybrid - Bos Indicus)
ENSBMU	Bos mutus (Wild yak)
ENSBSL	Betta splendens (Siamese fighting fish)
ENSBTA	Bos taurus (Cow)
ENSCAB	Chelonoidis abingdonii (Abingdon island giant tortoise)
ENSCAF	Canis lupus familiaris (Dog)
ENSCAN	Colobus angolensis palliatus (Angola colobus)
ENSCAP	Cavia aperea (Brazilian guinea pig)
ENSCAT	Cercocebus atys (Sooty mangabey)
ENSCCA	Cebus capucinus imitator (Capuchin)
ENSCCE	Cyanistes caeruleus (Blue tit)
ENSCCN	Castor canadensis (American beaver)
ENSCCR	Cyprinus carpio (Common carp huanghe)
ENSCDR	Camelus dromedarius (Arabian camel)
ENSCEL	Caenorhabditis elegans (Caenorhabditis elegans)
ENSCGO	Cottoperca gobio (Channel bull blenny)
ENSCGR	Cricetulus griseus (Chinese hamster CHOK1GS)
ENSCHA	Clupea harengus (Atlantic herring)
ENSCHI	Capra hircus (Goat)
ENSCHO	Choloepus hoffmanni (Sloth)
ENSCIN	Ciona intestinalis
ENSCJA	Callithrix jacchus (Marmoset)
ENSCJP	Coturnix japonica (Japanese quail)
ENSCLA	Chinchilla lanigera (Long-tailed chinchilla)
ENSCMI	Callorhinchus milii (Elephant shark)
ENSCPG	Calidris pygmaea (Spoon-billed sandpiper)
ENSCPO	Cavia porcellus (Guinea Pig)
ENSCPR	Crocodylus porosus (Australian saltwater crocodile)
ENSCPU	Calidris pugnax (Ruff)
ENSCSA	Chlorocebus sabaeus (Vervet-AGM)
ENSCSAV	Ciona savignyi
ENSCSE	Cynoglossus semilaevis (Tongue sole)
ENSCVA	Cyprinodon variegatus (Sheepshead minnow)
ENSCWA	Catagonus wagneri (Chacoan peccary)
ENSDAR	Danio rerio (Zebrafish)
ENSDCD	Denticeps clupeoides (Denticle herring)
ENSDNO	Dasypus novemcinctus (Armadillo)
ENSDNV	Dromaius novaehollandiae (Emu)
ENSDOR	Dipodomys ordii (Kangaroo rat)
ENSEAS	Equus asinus asinus (Donkey)
ENSEBU	Eptatretus burgeri (Hagfish)
ENSECA	Equus caballus (Horse)
