Sequence	ABBA_1	ABBA_2	CDII_1	CMI_1	D-Box_1	GLEBS_1	KARD_1	KEN_1	KEN_2	kinase_1	TPR_1	ABBA_3	ABBA_4	ABBA_5	D-Box_2	ABBA_6	ABBA_7	ABBA_8	MadaM_1	KARD_2	GLEBS_2	CMI_2	CMI_3	D-Box_3	ABBA_9	PLKBD_1	ABBA_10	CMI_4	ABBA_11	D-Box_4	D-Box_5	D-Box_6	D-Box_7	D-Box_8	D-Box_9	D-Box_10
PCAR_MADBUB	234-245	294-305	593-630	389-415	202-214	324-359	515-536	5-31	253-285	665-949	47-188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCAU_MADBUB	258-269	323-334	1068-1099	644-670	215-227	376-409	874-895	12-37	277-309	1077-1209	56-195	714-725	756-767	797-808	742-754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OLUC_MADBUB	291-302	352-363	756-794	579-605	0	416-450	0	23-49	312-344	823-1105	69-211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTAU_MADBUB	274-285	335-346	751-789	570-596	0	402-436	0	15-40	295-327	818-1100	62-202	632-640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPAL_MADBUB	269-278	340-351	799-833	471-497	210-222	417-450	0	4-29	301-333	859-1122	46-185	590-601	632-639	659-668	0	690-697	717-728	749-759	370-389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PINF_MADBUB	260-271	335-346	0	523-549	216-228	406-440	0	17-42	279-311	782-1082	60-197	566-577	598-609	617-626	0	634-642	0	0	373-392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HPAR_MADBUB	265-276	337-348	0	526-552	221-233	408-442	0	21-47	284-316	766-1065	65-202	569-580	601-612	0	0	0	0	0	375-394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPUR_MADBUB	278-289	355-366	0	484-510	0	0	0	6-28	301-331	0	56-199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MPOL_MADBUB	250-261	323-334	965-1003	615-641	0	411-444	0	2-26	283-315	1026-1269	45-184	661-672	702-713	739-750	0	773-784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCRA_MADBUB	280-291	341-352	850-887	517-543	235-247	388-427	705-726	11-36	304-336	937-1260	72-216	0	0	0	812-824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
