Sequence	ABBA2	ABBA_other	CDII	TPR	kinase	GLEBS	CMI	Dbox	KARD	MadaM
SPOM_BUB	1	0	1	1	1	1	1	1	1	0
ENSPPRP00000011262	0	1	1	1	1	1	1	0	1	0
ENSFCAP00000013846	0	1	1	1	1	1	1	0	1	0
ENSPTIP00000013038	0	1	1	1	1	1	1	0	1	0
ENSNLEP00000001609	0	1	1	0	1	1	1	0	1	0
ENSAMEP00000010060	0	1	1	1	1	1	1	0	1	0
ENSCCAP00000031157	0	1	1	1	1	1	1	0	1	0
ENSTTRP00000002897	0	1	1	1	1	1	1	0	1	0
ENSANAP00000006821	0	1	1	1	1	1	1	0	1	0
ENSVPAP00000006630	0	1	1	1	1	0	1	0	1	0
ENSLAFP00000007193	0	1	1	1	1	1	1	0	1	0
ENSDNOP00000004428	0	1	1	1	1	1	1	0	1	0
ENSSSCP00000026685	0	1	1	1	1	1	1	0	1	0
ENSTSYP00000032445	0	1	1	1	1	1	1	0	1	0
ENSCAFP00000037890	0	1	1	1	1	1	1	0	0	0
ENSOPRP00000002798	0	1	1	1	1	1	1	0	1	0
ENSPPYP00000013551	0	1	1	1	1	1	1	0	1	0
ENSCJAP00000024828	0	1	1	1	1	1	1	0	1	0
ENSCHIP00000009069	0	1	1	1	1	1	1	0	1	0
ENSOARP00000015359	0	1	1	1	1	1	1	0	1	0
ENSSBOP00000037898	0	1	1	1	1	1	1	0	1	0
ENSBTAP00000028226	0	1	1	1	1	1	1	0	1	0
ENSCANP00000034889	0	1	1	1	1	1	1	0	1	0
ENSMMUP00000057753	0	1	1	1	1	1	1	0	1	0
ENSMFAP00000033014	0	1	1	1	1	1	1	0	1	0
ENSGGOP00000046675	0	1	1	1	1	1	1	0	1	0
ENSMLEP00000007002	0	1	1	1	1	1	1	0	1	0
ENSP00000302530	0	1	1	1	1	1	1	0	1	0
ENSPTRP00000074938	0	1	1	1	1	1	1	0	1	0
ENSPANP00000039839	0	1	1	1	1	1	1	0	1	0
ENSCATP00000000265	0	1	1	1	1	1	1	0	1	0
ENSMNEP00000015176	0	1	1	1	1	1	1	0	1	0
ENSRROP00000022887	0	1	1	1	1	1	1	0	1	0
ENSCSAP00000012944	0	1	1	1	1	1	1	0	1	0
ENSRBIP00000009717	0	1	1	1	1	1	1	0	1	0
ENSPPAP00000032792	0	1	1	1	1	1	1	0	1	0
ENSNGAP00000011074	0	1	1	1	1	1	1	0	0	0
ENSPEMP00000024641	0	1	1	1	1	1	1	0	1	0
MGP_SPRETEiJ_P0056585	0	1	1	1	1	1	1	0	1	0
ENSMUSP00000028858	0	1	1	1	1	1	1	0	1	0
MGP_PahariEiJ_P0065455	0	1	1	1	1	1	1	0	1	0
ENSRNOP00000042114	0	1	1	1	1	1	1	0	1	0
MGP_CAROLIEiJ_P0054478	0	1	1	1	1	1	1	0	1	0
ENSEEUP00000009590	0	1	1	1	1	1	1	0	1	0
ENSJJAP00000000301	0	1	1	1	1	1	1	0	0	0
ENSETEP00000005721	0	1	1	1	1	0	1	0	1	0
ENSOGAP00000007020	0	1	1	1	1	1	1	0	1	0
ENSMICP00000007578	0	1	1	1	1	1	1	0	1	0
ENSPCOP00000026647	0	1	1	1	1	1	1	0	1	0
ENSPVAP00000003667	0	1	1	1	1	1	1	0	0	0
ENSMAUP00000014016	0	1	1	1	1	0	1	0	1	0
ENSCGRP00000023445	0	1	1	1	1	1	1	0	1	0
ENSCGRP00001005981	0	1	1	1	1	1	1	0	1	0
ENSPCAP00000013692	0	1	1	1	1	1	1	0	1	0
ENSECAP00000014839	0	1	1	1	1	1	1	0	1	0
ENSTBEP00000007799	0	1	1	1	1	1	1	0	1	0
ENSMLUP00000008467	0	1	1	1	1	1	1	0	1	0
ENSODEP00000008725	0	1	1	1	1	1	1	0	1	0
ENSCAPP00000014015	0	1	1	1	1	1	0	0	0	0
ENSCPOP00000011845	0	1	1	1	1	1	1	0	0	0
ENSFDAP00000005668	0	1	1	1	1	1	1	0	1	0
ENSHGLP00000024779	0	1	1	1	1	1	1	0	1	0
ENSHGLP00100017524	0	1	1	1	1	1	1	0	1	0
ENSOCUP00000012047	0	1	1	0	1	1	1	0	1	0
ENSMPUP00000019507	0	1	1	1	1	1	1	0	1	0
ENSMPUP00000009235	0	1	1	1	1	1	1	0	1	0
ENSOANP00000019968	0	1	1	1	1	1	1	0	1	0
ENSMEUP00000008543	0	1	1	1	1	1	0	0	0	0
ENSSARP00000003992	0	1	1	1	1	1	1	0	1	0
ENSMOCP00000017859	0	1	1	1	1	1	1	0	1	0
ENSCLAP00000008001	0	1	1	1	1	1	1	0	1	0
ENSPSIP00000019980	0	1	1	1	1	1	1	0	1	0
ENSSHAP00000004325	0	1	1	1	1	1	1	0	0	0
ENSMODP00000028612	0	1	1	1	1	1	1	0	0	0
ENSDORP00000013735	0	1	1	1	1	1	1	0	1	0
ENSXETP00000048599	0	1	1	1	1	1	1	0	1	0
ENSTRUP00000037463	0	1	1	1	1	1	1	0	1	0
ENSMAMP00000006125	0	1	1	0	1	0	0	0	0	0
ENSSPAP00000000943	0	1	1	1	1	1	1	0	1	0
ENSLBEP00000027270	0	1	1	0	1	1	1	0	1	0
ENSAOCP00000026302	0	1	1	1	1	1	1	0	1	0
ENSATEP00000003311	0	1	1	1	1	1	1	0	1	0
ENSMZEP00005017775	0	1	1	0	1	0	1	0	1	0
ENSHBUP00000000771	0	1	1	1	1	1	1	0	1	0
ENSONIP00000023630	0	1	1	1	1	1	1	0	1	0
ENSPFOP00000017428	0	1	1	0	1	1	1	0	1	0
ENSFHEP00000028205	0	1	1	1	1	1	1	0	1	0
ENSSMAP00000014985	0	1	1	1	1	1	1	0	1	0
ENSSDUP00000014749	0	1	1	1	0	1	1	0	1	0
ENSPKIP00000026704	0	1	1	1	1	1	1	0	1	0
ENSORLP00000033248	0	1	1	1	1	1	1	0	1	0
ENSORLP00015032245	0	1	1	1	1	1	1	0	1	0
ENSORLP00020001297	0	1	1	1	1	1	1	0	1	0
ENSMALP00000017883	0	1	1	0	1	0	1	0	1	0
ENSSFOP00015030280	0	1	1	1	1	1	1	0	1	0
ENSCVAP00000023574	0	1	1	0	1	0	0	0	1	0
ENSACAP00000012897	0	1	1	1	1	1	1	0	0	0
ENSAPLP00000011725	0	1	1	1	1	1	1	0	0	0
ENSFALP00000011989	0	1	1	1	1	1	1	0	0	0
ENSTGUP00000007573	0	1	1	1	1	1	1	0	1	0
ENSGALP00000013385	0	1	1	1	1	1	1	0	0	0
ENSMGAP00000002484	0	1	1	1	1	1	1	0	0	0
ENSLOCP00000020635	0	1	1	1	1	1	1	0	0	0
ENSDARP00000117438	0	1	1	1	1	1	1	0	1	0
OSAT_BUB_B	0	1	0	1	0	0	1	0	0	0
ACEY_BUB	0	1	1	1	1	1	0	1	0	0
PSTI_BUB	0	1	1	1	1	1	1	1	1	0
ABIS_BUB	0	1	1	1	1	1	1	1	1	0
PPAT_BUB	0	1	1	1	1	1	1	0	0	0
MLAR_BUB	0	1	1	1	1	1	1	0	1	1
NGRU_BUB	0	1	1	1	1	1	0	0	0	0
TRUB_BUB	0	1	1	1	1	1	1	0	1	0
SCER_BUB	0	1	1	1	1	1	1	0	1	0
AANO_BUB	0	1	0	1	0	1	1	0	0	0
SBAT_BUB	0	1	1	1	1	0	0	0	0	0
SMOE_BUB	0	1	1	1	1	0	1	0	0	0
ATRI_BUB_B	0	1	0	1	0	0	1	0	0	0
BMAL_BUB	0	1	1	1	1	0	0	0	0	0
ATHA_BUB_B	0	1	0	1	0	0	1	0	0	0
CMIL_BUB	0	1	1	1	1	1	1	0	0	0
CELE_BUB	0	1	1	1	1	1	0	0	0	0
CGLA_BUB	0	1	1	1	1	1	1	0	1	0
ACOE_BUB_B	0	1	0	1	0	0	1	0	0	0
GLUX_BUB	0	1	1	1	1	1	1	0	1	0
ENSAPOP00000014805	0	0	1	0	1	0	0	0	0	0
ENSACIP00000011340	0	0	1	0	1	0	0	0	0	0
ENSAPEP00000029759	0	0	1	0	1	0	0	0	0	0
ENSACLP00000018094	0	0	1	0	1	0	0	0	0	0
ENSNBRP00000007999	0	0	1	0	1	0	0	0	0	0
ENSPNYP00000004250	0	0	1	0	1	0	0	0	0	0
ENSOMEP00000016528	0	0	1	1	1	1	1	0	1	0
ENSSLDP00000028263	0	0	1	1	1	1	1	0	1	0
ENSMMOP00000023231	0	0	1	0	1	0	0	0	0	0
