Sequence	ABBA_3	CDII_1	CDII_2	TPR_1	kinase_1	GLEBS_1	CMI_1	KARD_1	PLKBD_1	ABBA_4
ENSUAMP00000012945	1	1	1	1	1	1	1	1	1	0
ENSUMAP00000016029	1	1	1	1	1	1	1	1	1	0
ENSPPRP00000011262	1	1	1	1	1	1	1	1	1	1
ENSFCAP00000013846	1	1	1	1	1	1	1	1	1	1
ENSPTIP00000013038	1	1	1	1	1	1	1	1	1	1
ENSAMEP00000010060	1	1	1	1	1	1	1	1	1	0
ENSLCNP00005024168	1	1	1	1	1	1	1	1	1	1
ENSSSUP00005004105	1	1	1	1	1	1	1	1	1	0
ENSTTRP00000002897	1	1	1	1	1	1	1	1	1	1
ENSNLEP00000001609	1	1	1	0	1	1	1	1	1	1
ENSMMSP00000020359	1	1	1	1	1	1	1	1	1	1
ENSVVUP00000038483	1	1	1	1	1	1	1	1	1	0
ENSCAFP00020024980	1	1	1	1	1	1	1	1	1	0
ENSCDRP00005029764	1	1	1	1	1	1	1	1	1	1
ENSPCTP00005013327	1	1	1	1	1	1	1	1	1	1
ENSCCAP00000031157	1	1	1	1	1	1	1	1	1	1
ENSVPAP00000006630	1	1	1	1	1	0	1	1	1	1
ENSLAFP00000007193	1	1	1	1	1	1	1	1	1	0
ENSDNOP00000004428	1	1	1	1	1	1	1	1	1	0
ENSTSYP00000032445	1	1	1	1	1	1	1	1	1	1
ENSSSCP00000072094	1	1	1	1	1	1	1	1	1	1
ENSCWAP00000024071	1	1	0	1	1	1	1	1	1	0
ENSOPRP00000002798	1	1	1	0	1	1	1	1	1	1
ENSANAP00000006821	1	1	1	1	1	1	1	1	1	1
ENSCHIP00000009069	1	1	1	1	1	1	1	1	1	1
ENSOARP00000015359	1	1	1	1	1	1	1	1	1	1
ENSBTAP00000028226	1	1	1	1	1	1	1	1	1	1
ENSBBBP00000017838	1	1	1	1	1	1	1	1	1	1
ENSBIXP00000018377	1	1	1	1	1	1	1	1	1	1
ENSBIXP00005012329	1	1	1	1	1	1	1	1	1	1
ENSBGRP00000042811	1	1	1	1	1	1	1	1	1	0
ENSCJAP00000024828	1	1	1	1	1	1	1	1	1	1
ENSPPYP00000013551	1	1	1	1	1	1	1	1	1	1
ENSCAFP00000059679	1	1	1	1	1	1	1	1	1	0
ENSCAFP00030025946	1	1	1	1	1	1	1	1	1	0
ENSCAFP00040015729	1	1	1	1	1	1	1	1	1	0
ENSSBOP00000037898	1	1	1	1	1	1	1	1	1	1
ENSMMUP00000049419	1	1	1	1	1	1	1	1	1	1
ENSCANP00000034889	1	1	1	1	1	1	1	1	1	1
ENSPTEP00000025598	1	1	1	1	1	1	1	1	1	1
ENSMFAP00000033014	1	1	1	1	1	1	1	1	1	1
ENSMLEP00000007002	1	1	1	1	1	1	1	1	1	1
ENSGGOP00000046675	1	1	1	1	1	1	1	1	1	1
ENSPANP00000039839	1	1	1	1	1	1	1	1	1	1
ENSCATP00000000265	1	1	1	1	1	1	1	1	1	1
ENSTGEP00000001292	1	1	1	1	1	1	1	1	1	1
ENSMNEP00000015176	1	1	1	1	1	1	1	1	1	1
ENSP00000302530	1	1	1	1	1	1	1	1	1	1
ENSPTRP00000074938	1	1	1	1	1	1	1	1	1	1
ENSCSAP00000012944	1	1	1	1	1	1	1	1	1	1
ENSRROP00000022887	1	1	1	1	1	1	1	1	1	1
ENSRBIP00000009717	1	1	1	1	1	1	1	1	1	1
ENSPPAP00000032792	1	1	1	1	1	1	1	1	1	1
ENSNGAP00000011074	1	1	0	1	1	1	1	0	0	0
ENSPEMP00000024641	1	1	1	1	1	1	1	1	1	1
MGP_PahariEiJ_P0065455	1	1	1	1	1	1	1	1	1	1
ENSMSIP00000021894	1	1	1	1	1	1	1	1	1	1
MGP_SPRETEiJ_P0056585	1	1	1	1	1	1	1	1	1	1
ENSMUSP00000028858	1	1	1	1	1	1	1	1	1	1
ENSRNOP00000042114	1	1	1	1	1	1	1	1	1	1
MGP_CAROLIEiJ_P0054478	1	1	1	1	1	1	1	1	1	1
ENSEEUP00000009590	1	1	1	1	1	1	1	0	1	0
ENSJJAP00000000301	1	1	1	1	1	1	1	0	1	1
ENSETEP00000005721	1	1	1	1	1	0	1	0	1	0
ENSNVIP00000020770	1	1	1	1	1	0	1	1	1	0
ENSBMUP00000033083	1	1	1	1	1	1	1	1	1	1
ENSMICP00000007578	1	1	1	1	1	1	1	1	1	1
ENSPCOP00000026647	1	1	1	1	1	1	1	1	1	1
ENSRFEP00010024575	1	1	1	1	1	1	1	1	1	0
ENSPVAP00000003667	1	1	1	1	1	1	1	0	0	0
ENSOGAP00000007020	1	1	1	1	1	1	1	1	1	1
ENSMAUP00000014016	1	1	1	1	1	0	1	1	1	1
ENSCGRP00000023445	1	1	1	1	1	1	1	1	1	1
ENSCGRP00001005981	1	1	1	1	1	1	1	1	1	1
ENSCGRP00015019480	1	1	1	1	1	1	1	1	1	1
ENSMMMP00000001896	1	1	1	1	1	1	1	1	1	0
ENSPCAP00000013692	1	1	1	1	1	1	1	1	0	0
ENSTBEP00000007799	1	1	0	1	1	1	1	1	1	0
ENSECAP00000014839	1	1	1	1	1	1	1	1	1	1
ENSMLUP00000008467	1	1	1	1	1	1	1	1	1	1
ENSPSMP00000024154	1	1	1	1	1	1	1	1	1	1
ENSMPUP00000019507	1	1	1	1	1	1	1	1	1	0
ENSMPUP00000009235	1	1	1	1	1	1	1	1	1	0
ENSOCUP00000031964	1	1	1	1	1	1	1	1	1	1
ENSMUGP00000024564	1	1	1	1	1	1	1	1	1	1
ENSMOCP00000017859	1	1	1	1	1	1	1	1	1	1
ENSODEP00000008725	1	1	1	1	1	1	1	1	1	1
ENSCAPP00000014015	1	1	1	1	1	1	0	0	1	1
ENSCPOP00000011845	1	1	1	1	1	1	1	0	1	1
ENSFDAP00000005668	1	1	1	1	1	1	1	1	1	1
ENSHGLP00000024779	1	1	1	1	1	1	1	1	1	1
ENSHGLP00100017524	1	1	1	1	1	1	1	1	1	1
ENSOANP00000019968	1	1	1	1	1	1	1	0	1	0
ENSMEUP00000008543	1	1	1	1	0	1	0	0	1	1
ENSSARP00000003992	1	1	1	0	1	1	1	1	1	1
ENSCLAP00000008001	1	1	1	1	1	1	1	1	1	1
ENSPSIP00000019980	1	1	1	1	1	1	1	1	1	0
ENSSHAP00000004325	1	1	1	1	1	1	1	0	1	1
ENSVURP00010020587	1	1	1	1	1	1	1	0	1	1
ENSPCIP00000006012	1	1	1	1	1	1	1	0	1	1
ENSMODP00000028612	1	1	1	1	1	1	1	0	1	1
ENSGAGP00000017633	1	1	1	0	1	1	1	1	1	0
ENSXETP00000048599	1	1	1	1	1	1	1	1	1	0
ENSTRUP00000037465	1	1	1	1	1	1	0	1	0	1
ENSSPAP00000000943	1	1	1	1	1	1	1	1	0	1
ENSLCRP00005004785	1	1	1	1	1	1	1	1	0	1
ENSLBEP00000027270	1	1	1	0	1	1	1	1	0	0
ENSENLP00000034426	1	1	1	1	1	1	1	0	0	0
ENSAOCP00000026302	1	1	1	1	1	1	1	1	0	1
ENSATEP00000003311	1	1	1	1	1	1	1	1	0	1
ENSNMLP00000044318	1	1	1	1	1	1	1	0	0	0
ENSPRNP00000019515	1	1	1	0	1	1	1	1	1	0
ENSPFOP00000017428	1	1	1	0	1	1	1	0	1	1
ENSSMAP00000014985	1	1	1	1	1	1	1	1	0	1
ENSMZEP00005017775	1	1	1	0	1	0	1	1	1	0
ENSHBUP00000000771	1	1	1	1	1	1	1	1	1	0
ENSOABP00000042840	1	1	1	1	1	1	1	1	0	0
