Sequence	ABBA_1	ABBA_2	KEN_1	KEN_2	GLEBS_1	D-Box_1	TPR_1	CDII_1	KARD_1	(Pseudo)kinase_1	PLKBD_1	ABBA_3	D-Box_2	ABBA_4	CMI_1
ENSSRHP00000080621	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
ENSSGRP00000004661	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSCCRP00010063190	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSACIP00000019215	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSACLP00000005027	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSMZEP00005036227	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSNBRP00000001079	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSPNYP00000001404	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSHBUP00000014138	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSOABP00000024202	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSONIP00000015340	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSCCRP00015033737	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSCCRP00020119595	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSSANP00000028103	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSDARP00000144935	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSSSAP00000014474	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSHHUP00000068887	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSSANP00000028565	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSGWIP00000037472	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSTRUP00000049557	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSPFOP00000029534	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0
ENSLBEP00000034348	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSSRHP00000073972	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSPREP00000032059	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSPLAP00000008434	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSPMEP00000004456	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSXCOP00000014653	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSXMAP00000006577	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSSPAP00000027150	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSLCAP00010024363	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSAPEP00000000441	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSOMEP00000016156	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSKMAP00000020521	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSSFAP00005035767	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSSAUP00010049010	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSAOCP00000028529	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSAPOP00000009215	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSSORP00005002557	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSIPUP00000029502	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSCVAP00000027143	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSLCRP00005053810	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSEEEP00000045400	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSHCOP00000026701	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSAMXP00005000661	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSORLP00015016772	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSPMGP00000013820	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSORLP00000036753	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSORLP00020002621	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSCHAP00000058921	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSMALP00000008423	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSPRNP00000042732	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSFHEP00000015568	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSCGOP00000049089	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSMMDP00005037042	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSMMOP00000002589	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSDCDP00000001773	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSMAMP00000011851	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSSMAP00000011227	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSBSLP00000028965	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSSLDP00000004482	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSSDUP00000014209	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSPNAP00000032818	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSSFOP00015024905	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSOANP00000016996	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
ENSXETP00000000565	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSMEUP00000003611	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSARWP00000009532	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSAOWP00000009889	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSAHAP00000018063	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSNPEP00000011584	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
ENSPCIP00000031171	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
ENSVURP00010010766	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
ENSSHAP00000014415	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
ENSMODP00000000684	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
ENSMICP00000006968	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
ENSPCAP00000011713	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0
ENSSCUP00000011593	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
ENSPSTP00000018076	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSLCOP00000001352	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0
ENSDNOP00000000770	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSTMTP00000020839	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSPSTP00000002421	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSPSTP00000007704	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSEEUP00000012466	1	1	1	1	1	1	1	0	0	1	0	1	1	0	0
ENSSHBP00005003917	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
ENSANIP00000009051	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
ENSCPBP00000018691	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
ENSSCAP00000015609	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSPMJP00000003783	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0
ENSCCEP00000017681	1	1	1	1	1	1	1	0	0	0	0	1	0	1	0
ENSSPUP00000024848	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSCABP00000009096	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSMUNP00000014748	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSCPRP00005027004	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
ENSCPIP00010001092	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSMVIP00005025454	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSGALP00000055351	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSCPGP00000002882	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0
ENSDNVP00000004268	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
ENSPCLP00000017172	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSMGAP00000003415	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSACCP00020020265	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSACDP00005009472	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSABRP00000012610	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSCPUP00000022125	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSACOP00000019565	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
ENSTGUP00000034845	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0
ENSFALP00000001087	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ENSAPLP00000019518	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
ENSACUP00000005461	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
ENSCHAP00000049093	1	0	0	0	1	0	1	1	0	1	1	0	0	0	0
ENSACAP00000014201	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
ENSSMRP00000019817	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSPMRP00000029005	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSPTXP00000000390	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
