Sequence	ABBA_1	ABBA_2	CDII_1	KEN_1	KEN_2	TPR_1	kinase-like_1	GLEBS_1	KARD_1	Dbox_1	Dbox_2	ABBA_other	MadaM_1	CMI_1	KEN_other	GLEBS_2
MGP_PahariEiJ_P0064731	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
ENSNGAP00000014623	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
ENSSTOP00000008606	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSJJAP00000017002	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSPEMP00000016954	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSMUSP00000037126	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
MGP_CAROLIEiJ_P0053752	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
MGP_SPRETEiJ_P0055850	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSRNOP00000010406	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSTBEP00000007817	1	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0
ENSCGRP00001020614	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSOGAP00000007570	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0
ENSTSYP00000010994	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSMAUP00000024732	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSPVAP00000016105	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0
ENSCHOP00000004834	1	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0
ENSHGLP00000023137	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0
ENSETEP00000011672	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0
ENSPANP00000016321	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSPCOP00000020781	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSMFAP00000017978	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSMLEP00000002148	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSP00000287598	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSPPYP00000007185	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSRBIP00000038600	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSCSAP00000003620	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSTTRP00000000034	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSVPAP00000009570	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSNLEP00000003290	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSMNEP00000000688	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSPPAP00000043094	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSHGLP00100017467	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSMLUP00000007466	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSLAFP00000009774	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSECAP00000019324	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSAMEP00000018192	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSMMUP00000021937	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0
ENSGGOP00000002254	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
